TEAM_NAME,FGM,FGA,FG3M,FG3A,FG%,FG3%,FG2M,FG2A,2P%,SEASON
Cleveland Cavaliers,2937,6697,552,1544,43.85545766761236,35.751295336787564,2385,5153,46.28371822239472,2007-08
Dallas Mavericks,3025,6515,494,1403,46.43131235610131,35.21026372059872,2531,5112,49.51095461658842,2007-08
Denver Nuggets,3307,7038,569,1605,46.987780619494174,35.45171339563863,2738,5433,50.39572979937419,2007-08
Detroit Pistons,2999,6551,487,1330,45.77927034040605,36.61654135338346,2512,5221,48.113388239800805,2007-08
Golden State Warriors,3403,7406,761,2185,45.94923035376722,34.828375286041194,2642,5221,50.603332694886035,2007-08
Houston Rockets,3003,6698,583,1707,44.83427888922066,34.153485647334506,2420,4991,48.487277098777795,2007-08
Indiana Pacers,3102,6993,755,2021,44.35864435864436,37.35774369124196,2347,4972,47.204344328238136,2007-08
Los Angeles Clippers,2820,6445,350,1079,43.75484871993794,32.437442075996294,2470,5366,46.03056280283265,2007-08
Los Angeles Lakers,3248,6818,662,1751,47.63860369609856,37.806967447173044,2586,5067,51.03611604499704,2007-08
Memphis Grizzlies,3060,6737,620,1779,45.42081044975508,34.85103991006183,2440,4958,49.213392496974585,2007-08
Miami Heat,2808,6336,491,1373,44.31818181818182,35.76110706482156,2317,4963,46.685472496473906,2007-08
Milwaukee Bucks,3026,6745,452,1313,44.86286137879911,34.424980959634425,2574,5432,47.38586156111929,2007-08
Minnesota Timberwolves,3076,6817,441,1259,45.1224878979023,35.02779984114376,2635,5558,47.4091399784095,2007-08
New Jersey Nets,2856,6450,498,1430,44.27906976744186,34.82517482517483,2358,5020,46.97211155378486,2007-08
New Orleans Hornets,3164,6796,630,1621,46.55679811653914,38.864898210980876,2534,5175,48.96618357487923,2007-08
New York Knicks,2967,6757,490,1454,43.91001923930739,33.70013755158185,2477,5303,46.709409768055814,2007-08
Orlando Magic,3058,6446,801,2074,47.44027303754266,38.62102217936355,2257,4372,51.62397072278133,2007-08
Philadelphia 76ers,3056,6648,302,952,45.96871239470517,31.72268907563025,2754,5696,48.3497191011236,2007-08
Phoenix Suns,3392,6782,694,1764,50.01474491300502,39.342403628117914,2698,5018,53.76644081307293,2007-08
Portland Trail Blazers,2935,6546,538,1426,44.836541399327835,37.727910238429175,2397,5120,46.81640625,2007-08
Sacramento Kings,3043,6558,510,1367,46.40134187252211,37.30797366495977,2533,5191,48.795993064920054,2007-08
San Antonio Spurs,2938,6424,594,1610,45.734744707347446,36.8944099378882,2344,4814,48.69131699210635,2007-08
Seattle SuperSonics,3125,7032,313,939,44.43970420932878,33.33333333333333,2812,6093,46.151321188248815,2007-08
Toronto Raptors,3148,6726,572,1459,46.80344930121915,39.204934886908845,2576,5267,48.90829694323144,2007-08
Utah Jazz,3279,6592,407,1095,49.74211165048544,37.1689497716895,2872,5497,52.246680007276694,2007-08
Washington Wizards,2986,6695,575,1614,44.60044809559373,35.62577447335812,2411,5081,47.451289116315685,2007-08
Atlanta Hawks,2956,6451,597,1633,45.82235312354674,36.55848132271892,2359,4818,48.96222498962225,2008-09
Boston Celtics,3075,6333,538,1355,48.55518711511132,39.70479704797048,2537,4978,50.96424266773805,2008-09
Charlotte Bobcats,2866,6299,490,1339,45.499285600889024,36.59447348767737,2376,4960,47.90322580645161,2008-09
Chicago Bulls,3126,6846,493,1293,45.661700262927255,38.12838360402166,2633,5553,47.41581127318567,2008-09
Cleveland Cavaliers,3022,6454,656,1670,46.82367524016114,39.2814371257485,2366,4784,49.45652173913043,2008-09
